duplicate_id,record_ids,author,title,year,journal,abstract,doi,volume,issue,url,issn,start_page,ID,cite_source,cite_label,source,number,pages,isbn,cite_string,label,MergedColumn
4472,4472,"Ferrarotto, L. and Venuti, G. and Castellana, C. and Piedimonte, G. and Mangione, R. and Manna, A.L. and Tamburino, C.",Medical devices for the prevention of contrast-induced acute kidney injury in interventional cardiology,2021,Giornale Italiano di Cardiologia,"Contrast-induced acute kidney injury (CI-AKI) consists in acute decline in renal function following iodinated contrast media exposure. It has a significant impact on long-term prognosis and mortality, development of chronic kidney disease and on the rate of hospitalization due to cardiovascular or renal events. Anamnestic and procedural aspects linked to higher risk of CI-AKI have been investigated and new devices have been designed in order to prevent it. This paper deals with CI-AKI in interventional cardiology, focusing on patients’ risk stratification, contrast media agent selection and contrast media volume reduction strategies, in order to suggest a standardized algorithm. © 2021 Il Pensiero Scientifico Editore",10.1714/3698.36880,22,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122391335&doi=10.1714%2f3698.36880&partnerID=40&md5=b873d5828256c4a9c63d17a3a011acc1,,1008,,ScopusTIAB,search,ScopusTIAB,12,1008,,,search,NA
1687,1687,"Cooper, K. D. and Kennedy, K.",Interprocedural Side-Effect Analysis in Linear Time,1988,SIGPLAN Not.,"We present a new method for solving Banning's alias-free flow-insensitive side-effect analysis problem. The algorithm employs a new data structure, called the binding multi-graph, along with depth-first search to achieve a running time that is linear in the size of the call multi-graph of the program. This method can be extended to produce fast algorithms for data-flow problems with more complex lattice structures.",10.1145/960116.53996,23,7,https://doi.org/10.1145/960116.53996,0362-1340,57,,ACM,search,ACM,7,57,0362-1340,,search,4
1688,1688,"Cooper, Keith D. and Kennedy, Ken",Interprocedural Side-Effect Analysis in Linear Time,2004,SIGPLAN Not.,"We present a new method for solving Banning's alias-free flow-insensitive side-effect analysis problem. The algorithm employs a new data structure, called the binding multi-graph, along with depth-first search to achieve a running time that is linear in the size of the call multi-graph of the program. This method can be extended to produce fast algorithms for data-flow problems with more complex lattice structures.",10.1145/989393.989418,39,4,https://doi.org/10.1145/989393.989418,0362-1340,217,,ACM,search,ACM,4,217,0362-1340,,search,4
1718,1718,"Callahan, David and Cooper, Keith D. and Kennedy, Ken and Torczon, Linda",Interprocedural Constant Propagation,2004,SIGPLAN Not.,"In a compiling system that attempts to improve code for a whole program by optimizing across procedures, the compiler can generate better code for a specific procedure if it knows which variables will have constant values, and what those values will be, when the procedure is invoked. This paper presents a general algorithm for determining for each procedure in a given program the set of inputs that will have known constant values at run time. The precision of the answers provided by this method are dependent on the precision of the local analysis of individual procedures in the program. Since the algorithm is intended for use in a sophisticated software development environment in which local analysis would be provided by the source editor, the quality of the answers will depend on the amount of work the editor performs. Several reasonable strategies for local analysis with different levels of complexity and precision are suggested and the results of a prototype implementation in a vectorizing Fortran compiler are presented.",10.1145/989393.989412,39,4,https://doi.org/10.1145/989393.989412,0362-1340,155,,ACM,search,ACM,4,155,0362-1340,,search,5
1719,"1719, 1720","Callahan, David and Cooper, Keith D. and Kennedy, Ken and Torczon, Linda",Interprocedural Constant Propagation,1986,SIGPLAN '86,"In a compiling system that attempts to improve code for a whole program by optimizing across procedures, the compiler can generate better code for a specific procedure if it knows which variables will have constant values, and what those values will be, when the procedure is invoked. This paper presents a general algorithm for determining for each procedure in a given program the set of inputs that will have known constant values at run time. The precision of the answers provided by this method are dependent on the precision of the local analysis of individual procedures in the program. Since the algorithm is intended for use in a sophisticated software development environment in which local analysis would be provided by the source editor, the quality of the answers will depend on the amount of work the editor performs. Several reasonable strategies for local analysis with different levels of complexity and precision are suggested and the results of a prototype implementation in a vectorizing Fortran compiler are presented.",10.1145/12276.13327,21,7,https://doi.org/10.1145/12276.13327,0-89791-197-0,152,,"ACM, ACM","search, search","ACM, ACM",7,152,0-89791-197-0,,"search, search",5
5698,5698,,"International Symposium on Ubiquitous Networking, UNet 2016",2017,Lecture Notes in Electrical Engineering,"The proceedings contain 55 papers. The special focus in this conference is on Context-Awareness and Autonomy Paradigms, Mobile Edge Networking and Virtualization, Enablers, Challenges and Applications, Smart Cities and Urban Informatics for Sustainable Development, Unmanned Aerial Vehicles From Theory to Applications and From Data to Knowledge: Big Data Applications and Solutions. The topics include: Combined genetic algorithm and ON/OFF primary user activity models; performance analysis of routing protocols in vehicular ad hoc network; a message removal mechanism for delay tolerant networks; study of the impact of designed objective function on the RPL-based routing protocol; towards the enhancement of QoS in 802.11e for ad hoc networks; implementation of bit error rate model of 16-QAM in aqua-Sim simulator for underwater sensor networks; towards an autonomic approach for software defined networks: an overview; privacy preservation in the internet of things; cost-precision tradeoffs in 3D Air pollution mapping using WSN; a conceptual architecture for a cloud-based context-aware service composition; a pub-sub based architecture for IDS as service; a new approach for modeling strategic IT Governance workflow; recognition of OFDM and SCLD signals based on second-order statistics; fast algorithm for 3D local feature extraction using Hahn and charlier moments; automatic detection of suspicious lesions in digital X-ray mammograms; a comparative experimental study of spectral hashing; a survey on authentication in smartphones; ABE based raspberry Pi secure health sensor; towards data-as-a-service provisioning with high-quality data and predicting chronic kidney failure disease using data mining techniques.",,397,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996605291&partnerID=40&md5=ce2e85d6201ac449f92392e3076d14ec,,1,,ScopusTIAB,search,ScopusTIAB,,1,,,search,NA
4660,4660,,"International Conference on Innovative Technology for Sustainable Development 2021, ICITSD 2021",2021,Journal of Physics: Conference Series,The proceedings contain 32 papers. The topics discussed include: a survey of image pre-processing techniques for medical images; disease detection in rice leaves using transfer learning techniques; comparative analysis of machine learning methods to detect chronic kidney disease; DEEPORCD: detection of oral cancer using deep learning; an adaptive fuzzy system based insider attacks detection with group key management for wireless ad-hoc network; student result prediction in Covid-19 lockdown using machine learning techniques; acceleration of web interface generation through voice commands; football player performance analysis using particle swarm optimization and player value calculation using regression; auto-off ID: automatic detection of offensive language in social media; and implementation of robotics and its impact on sustainable banking: a futuristic study.,,1911,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108607624&partnerID=40&md5=88c3e65c94a5a2f95d805324da8ba501,,,,ScopusTIAB,search,ScopusTIAB,1,,,,search,NA
4873,4873,,"International Conference on Electrical, Computer, and Energy Technologies, ICECET 2021",2021,"International Conference on Electrical, Computer, and Energy Technologies, ICECET 2021","The proceedings contain 399 papers. The topics discussed include: human-robot interaction using mixed reality; enhancing LSTM for sequential image classification by modifying data aggregation; inertia emulation in low inertia power systems considering frequency measurement effects; classification and detection of chronic kidney disease (CKD) using machine learning algorithms; tuning of multi-input multi-output proportional-integral-derivative controller based on improved linearly and chaotic inertia weight particle swarm optimization; inside and out: a platform to characterize stratification in horizontal electric water heaters; energy cooperative transmission policy for energy harvesting tags; a predictive model for power consumption estimation using machine learning; classification method of motor EEG signals based on EMD and refined composite multi-scale entropy; evaluation and training system of pc operation for elderly, using gazing point and mouse operation; generalized distribution energy systems optimal operation by network flow models; development of motion game for elderly based on sensory stimulus presentation; and perceived levels of ethical responsibilities for a software engineer: computing academics' perspective.",,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127049178&partnerID=40&md5=20e6a8fe1990de5b508bf5d6f2a8cd44,,,,ScopusTIAB,search,ScopusTIAB,,,,,search,NA
5600,5600,,"International Conference on Communication on Networks, COMNET 2016",2017,Advances in Intelligent Systems and Computing,"The proceedings contain 75 papers. The special focus in this conference is on Communication on Networks. The topics include: A novice approach for web application security; human computer interaction through hand gestures for home automation using Microsoft kinect; segmentation and recognition of fingers using Microsoft kinect; randomness evaluation of ZUC, SNOW and GRAIN stream ciphers; more stable election of cluster head protocol for heterogeneous wireless sensor network; use of ICT for development of smart city-Ahmedabad; the efficient scheme for contention reduction in bufferless OBS network; empowering throughput over proactive wireless network using multistreaming; achieving energy aware mechanism in cloud computing environment; reliability-aware workflow scheduling using Monte Carlo failure estimation in cloud; designing an enhanced simulation module for multimedia transmission over wireless standards; mitigating data segregation and privacy issues in cloud computing; software risk measurement and interpretation with generated precedence matrix; a novel approach to design of adaptive search system using second generation big data analytics cooperative sensors for identifying an impulsive events of asynchronous environment; trust integrated federated architecture ranking service models in cloud computing environment; home automation using single board computing as an internet of things application; classification of technical and management metrics in object oriented software engineering; chronic kidney disease prediction using back propagation neural network algorithm; an efficient system model for multicasting measured noise value of polluting industries and image classification using discrete block truncation coding.",,508,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017954572&partnerID=40&md5=40953a331c8fc1bfaeafaae595fb5a30,,1,,ScopusTIAB,search,ScopusTIAB,,1,,,search,NA
1197,1197,"Xun Liu and Ningshan Li and Linsheng Lv and Yongmei Fu and Cailian Cheng and Caixia Wang and Yuqiu Ye and Shaomin Li and Tanqi Lou and Liu, Xun and Li, Ningshan and Lv, Linsheng and Fu, Yongmei and Cheng, Cailian and Wang, Caixia and Ye, Yuqiu and Li, Shaomin and Lou, Tanqi",Improving precision of glomerular filtration rate estimating model by ensemble learning,2017,J TRANSL MED,"Background: Accurate assessment of kidney function is clinically important, but estimates of glomerular filtration rate (GFR) by regression are imprecise.Methods: We hypothesized that ensemble learning could improve precision. A total of 1419 participants were enrolled, with 1002 in the development dataset and 417 in the external validation dataset. GFR was independently estimated from age, sex and serum creatinine using an artificial neural network (ANN), support vector machine (SVM), regression, and ensemble learning. GFR was measured by 99mTc-DTPA renal dynamic imaging calibrated with dual plasma sample 99mTc-DTPA GFR.Results: Mean measured GFRs were 70.0 ml/min/1.73 m2 in the developmental and 53.4 ml/min/1.73 m2 in the external validation cohorts. In the external validation cohort, precision was better in the ensemble model of the ANN, SVM and regression equation (IQR = 13.5 ml/min/1.73 m2) than in the new regression model (IQR = 14.0 ml/min/1.73 m2, P < 0.001). The precision of ensemble learning was the best of the three models, but the models had similar bias and accuracy. The median difference ranged from 2.3 to 3.7 ml/min/1.73 m2, 30% accuracy ranged from 73.1 to 76.0%, and P was > 0.05 for all comparisons of the new regression equation and the other new models.Conclusions: An ensemble learning model including three variables, the average ANN, SVM, and regression equation values, was more precise than the new regression model. A more complex ensemble learning strategy may further improve GFR estimates.",10.1186/s12967-017-1337-y,15,,http://ezproxy.library.uvic.ca/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=126161533&site=ehost-live&scope=site,1479-5876,1,126161533,CINAHL,search,CINAHL,,1,1479-5876,,search,6
2472,"2472, 5516","Liu, Xun and Li, Ningshan and Lv, Linsheng and Fu, Yongmei and Cheng, Cailian and Wang, Caixia and Ye, Yuqiu and Li, Shaomin and Lou, Tanqi",Improving precision of glomerular filtration rate estimating model by ensemble learning,2017,Journal of translational medicine,"BACKGROUND: Accurate assessment of kidney function is clinically important, but estimates of glomerular filtration rate (GFR) by regression are imprecise. METHODS: We hypothesized that ensemble learning could improve precision. A total of 1419 participants were enrolled, with 1002 in the development dataset and 417 in the external validation dataset. GFR was independently estimated from age, sex and serum creatinine using an artificial neural network (ANN), support vector machine (SVM), regression, and ensemble learning. GFR was measured by 99mTc-DTPA renal dynamic imaging calibrated with dual plasma sample 99mTc-DTPA GFR. RESULTS: Mean measured GFRs were 70.0 ml/min/1.73 m(2) in the developmental and 53.4 ml/min/1.73 m(2) in the external validation cohorts. In the external validation cohort, precision was better in the ensemble model of the ANN, SVM and regression equation (IQR = 13.5 ml/min/1.73 m(2)) than in the new regression model (IQR = 14.0 ml/min/1.73 m(2), P < 0.001). The precision of ensemble learning was the best of the three models, but the models had similar bias and accuracy. The median difference ranged from 2.3 to 3.7 ml/min/1.73 m(2), 30% accuracy ranged from 73.1 to 76.0%, and P was > 0.05 for all comparisons of the new regression equation and the other new models. CONCLUSIONS: An ensemble learning model including three variables, the average ANN, SVM, and regression equation values, was more precise than the new regression model. A more complex ensemble learning strategy may further improve GFR estimates.",10.1186/s12967-017-1337-y,15,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033594352&doi=10.1186%2fs12967-017-1337-y&partnerID=40&md5=8c3da17065158dae5765c7af95dc5715,1479-5876,231,,"Medline, ScopusTIAB","search, search","Medline, ScopusTIAB",1,231,1479-5876,,"search, search",6
1593,1593,,ICIBE '22: Proceedings of the 8th International Conference on Industrial and Business Engineering,2022,,,,,,,978-1-4503-9758-2,,,ACM,search,ACM,,,978-1-4503-9758-2,,search,NA
1499,1499,,ICBRA '22: Proceedings of the 9th International Conference on Bioinformatics Research and Applications,2022,,,,,,,978-1-4503-9686-8,,,ACM,search,ACM,,,978-1-4503-9686-8,,search,NA
